Symbol Table:
Index  Symbol    
1      main      
2      p
3      n
4      sum       

Tokens Table:
Line_No    Lexeme          Token           Token Value

1          int             Keyword         17        
1          main            Identifier      1
1          (               Delimiter       1
1          )               Delimiter       2
2          {               Delimiter       3
3          int             Keyword         17        
3          p               Identifier      2
3          =               Operator        13        
3          15              Constant        15        
3          ;               Delimiter       8
4          int             Keyword         17        
4          n               Identifier      3
4          =               Operator        13        
4          22              Constant        22        
4          ;               Delimiter       8
5          int             Keyword         17        
5          sum             Identifier      4
5          =               Operator        13        
5          p               Identifier      2
5          +               Operator        1
5          n               Identifier      3
5          ;               Delimiter       8
6          return          Keyword         20        
6          0               Constant        0
6          ;               Delimiter       8
7          }               Delimiter       4
